id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
655607520510721940,Beach House Scheveningen,462711934,Tamar,Wijk 07 Scheveningen,Oud Scheveningen,52.10475,4.26933,Entire home/apt,99,14,3,2024-01-28,0.10,1,339,1,0518 5BFA C824 3E2F 44BC
658397653526205544,Kd 879 - Vakantiepark Kijkduin,256391686,Eezz,Wijk 15 Kijkduin en Ockenburgh,Ockenburgh,52.06101,4.21082,Entire home/apt,,1,9,2023-10-30,0.32,2,0,0,Exempt
659407827693050206,Cozy house,3296228,Jolande Marie Anne,Wijk 05 Archipelbuurt,Archipelbuurt,52.09165,4.30476,Entire home/apt,250,4,4,2024-08-18,0.14,1,82,3,0518 64D1 213B 4434 4BAD
659448343536253788,"City villa with character, 280 m2 (incl. bikes)",19899759,Petra,Wijk 21 Regentessekwartier,Koningsplein en omgeving,52.077031,4.2823973,Entire home/apt,,14,5,2024-08-04,0.17,1,1,2,0518 8547 0222 4D75 CB65
660159328189569787,Surf & Chill House on 5min walk from the beach,72246813,Floris,Wijk 09 Geuzen- en Statenkwartier,Geuzenkwartier,52.10142,4.27443,Entire home/apt,100,3,8,2024-06-30,0.27,1,217,2,abcd1234ab1289efa0f9
661354843109429470,Stylish & spacious apt. near beach & city centre,19795388,Thessa,Wijk 02 Belgisch Park,Belgisch Park,52.11175679999999,4.2973181,Entire home/apt,,3,17,2024-07-20,0.57,1,0,4,0518 71D2 8399 18B9 45A2
662121401184350833,Den Haag apartments,465584883,Andriy,Wijk 29 Schildersbuurt,Schildersbuurt-West,52.06562,4.30317,Private room,,1,1,2022-07-23,0.03,1,0,0,0518 8C72 EAC9 392D 4A61
662924829425929704,Sonnige Wohnung mit Dachterrasse in ruhiger Lage!,16843990,Susann,Wijk 07 Scheveningen,Scheveningen Badplaats,52.10607,4.2772,Entire home/apt,185,4,4,2024-07-21,0.53,1,5,4,0518 2CC9 D948 A173 4BE7
665017652041802435,Knus vissershuis in Scheveningen/boulevard/Strand,27270032,Monique,Wijk 07 Scheveningen,Scheveningen Badplaats,52.10615,4.27566,Entire home/apt,185,4,15,2024-10-06,0.51,1,36,8,0518 29CO EB68 1651 4D5E
665920669195987115,"Snug apartment in the old part of Scheveningen, 100 m from the beach",270242145,Tamara - BELVILLA,Wijk 07 Scheveningen,Vissershaven,52.10267,4.26923,Entire home/apt,147,1,0,,,14,365,0,0518C24C1AFC1F22AA0B
665922670318356451,Fijn huis op loopafstand van strand en haven,27490683,Willemijn,Wijk 09 Geuzen- en Statenkwartier,Geuzenkwartier,52.09148,4.26823,Entire home/apt,180,3,15,2024-11-04,0.52,1,262,5,05180EBEFB5FDE9E4B2C
665939264627721967,Ruim huis vlakbij het Scheveningse strand!,186988089,Sandy,Wijk 02 Belgisch Park,Belgisch Park,52.1107665,4.2895578,Entire home/apt,,5,6,2024-08-11,0.31,1,0,3,0518 8E42 D1CC 983E E56A
667393190052421682,"Luxe huis nabij het strand, ideaal met kinderen!",28416486,Kiki,Wijk 02 Belgisch Park,Belgisch Park,52.11087,4.28598,Entire home/apt,245,5,5,2024-07-31,0.17,1,22,3,0518 97D0 4D02 B371 44CF
670214053966962364,The Little Green Dream Machine,77190721,Darren,Wijk 04 Benoordenhout,Arendsdorp,52.09466,4.32361,Entire home/apt,96,2,0,,,1,363,0,Exempt
673927189062716080,Exceptional 3-bedroom Loft | >1wk equals discount,237469950,Maxime,Wijk 05 Archipelbuurt,Archipelbuurt,52.0940121,4.302357,Entire home/apt,429,3,5,2024-09-24,0.17,1,86,1,0518 F9BF 3DBC E873 495E
675204533417582963,"2 bedrooms suite in luxury home, near beach",398842799,Bruno,Wijk 13 Vogelwijk,Vogelwijk,52.07652,4.2399,Private room,123,2,0,,,2,42,0,051867D46096172746BF
677913679983366496,Familiehuis met tuin op steenworp van het strand,86379023,Niek,Wijk 07 Scheveningen,Scheveningen Badplaats,52.11035,4.27953,Entire home/apt,280,7,6,2024-07-27,0.21,1,37,1,05180383F218C9C5FD73
679332017285494595,Herenhuis vlakbij het strand,56741226,Mikel,Wijk 07 Scheveningen,Visserijbuurt,52.10342,4.28503,Entire home/apt,220,6,5,2024-08-18,0.19,1,19,1,0518 A843 43ED 75CE 4AFB
681121464832663549,Modern 2 bedroom apartment near Scheveningen beach,9165668,Robert,Wijk 07 Scheveningen,Scheveningen Badplaats,52.10545,4.27622,Entire home/apt,223,4,5,2023-06-25,0.17,32,326,0,Exempt
681134871360025451,Modern apartment near Scheveningen beach,9165668,Robert,Wijk 07 Scheveningen,Scheveningen Badplaats,52.10514,4.27616,Entire home/apt,223,4,10,2024-08-14,0.35,32,254,2,Exempt
682567863751121026,Penthouse in Den Haag,48930772,Richard,Wijk 26 Bezuidenhout,Bezuidenhout-Oost,52.0844,4.34579,Entire home/apt,210,3,6,2024-05-12,0.67,1,6,6,0518 9052 D224 02D3 4982
683081887455582595,Mooie bungalow op 5 minuten van Kijkduin strand,472490127,Leon,Wijk 15 Kijkduin en Ockenburgh,Ockenburgh,52.05472,4.2122,Entire home/apt,215,7,2,2022-10-16,0.07,1,365,0,Exempt
684731498766066295,2 pers kamer aan zee en strand,138679740,Ilja,Wijk 07 Scheveningen,Oud Scheveningen,52.10488,4.27102,Private room,150,1,58,2024-10-06,2.01,1,361,17,0518 0E5B 24EF B434 4ECE
686020293080452214,Mooie centraal gelegen nieuwbouw hoekwoning,77323657,Saskia,Wijk 36 Moerwijk,Moerwijk-Zuid,52.0437584,4.290066299999999,Entire home/apt,175,2,15,2024-10-13,0.67,1,336,8,051827838AD9A293412A
686692614316784008,"Lovely neighbourhood, near the sea",231675684,Marit,Wijk 21 Regentessekwartier,Koningsplein en omgeving,52.07881,4.28342,Private room,200,30,88,2024-08-20,3.05,1,63,8,0518 0938 4088 ACC1 462F
686827398897544730,Beachhome Scheveningen,27008865,Eefje,Wijk 07 Scheveningen,Oud Scheveningen,52.1054,4.27338,Entire home/apt,850,1,0,,,3,348,0,0518 829D E68D BC84 817B
688407003551487671,Group room for 8 guests with en-suite bathroom,5285926,Diederick,Wijk 28 Centrum,Zuidwal,52.07521,4.3092,Private room,,1,10,2024-11-17,0.35,29,305,2,Exempt
688408588112697314,Group room for 6 guests with en-suite bathroom,5285926,Diederick,Wijk 28 Centrum,Zuidwal,52.0757,4.30937,Private room,225,1,4,2024-12-01,0.21,29,281,2,Exempt
688464415558760348,Ruim en gezellige gezinswoning in Den Haag,70098610,Carla,Wijk 11 Duinoord,Sweelinckplein en omgeving,52.08087,4.28182,Entire home/apt,250,5,0,,,1,256,0,0518 13C3 D1A3 0F1E 4DAB
689575921723895546,Fully renovated 2 bedroom apartment with balcony.,71981073,Marloes,Wijk 26 Bezuidenhout,Bezuidenhout-Oost,52.08553,4.34438,Entire home/apt,,2,20,2024-10-27,0.95,1,0,7,0518 2EA2 B4E3 89F4 4C0C
689594093347306613,Cozy bedroom Den Haag,23039640,Sergey,Wijk 25 Mariahoeve en Marlot,Landen,52.09838,4.36029,Private room,,1,1,2023-11-30,0.08,1,0,0,Exempt
689904608561500248,Cozy 3-bed room apartment with free parking,454098721,NingNing,Wijk 26 Bezuidenhout,Bezuidenhout-Oost,52.08079,4.34755,Entire home/apt,141,3,13,2024-04-30,0.45,1,306,1,
693399419384721252,Lovely 2-bedroom city-center loft with balcony,213921672,Joel,Wijk 28 Centrum,Zuidwal,52.07325,4.30327,Entire home/apt,,5,9,2023-12-31,0.34,1,0,1,0518 5EC6 3E8C 9F5F 46B2
693961761118490778,Den Haag Keizerstraat | Suite XL + sep. kitchen,418270816,Limehome,Wijk 07 Scheveningen,Oud Scheveningen,52.103767,4.276362,Entire home/apt,149,1,15,2024-11-05,0.59,11,333,11,Exempt
693963766103689566,Den Haag Keizerstraat | Suite XL,418270816,Limehome,Wijk 07 Scheveningen,Oud Scheveningen,52.103767,4.276362,Entire home/apt,161,1,64,2024-12-08,2.61,11,333,18,Exempt
693965918038793245,Den Haag Keizerstraat | Suite XL with balcony,418270816,Limehome,Wijk 07 Scheveningen,Oud Scheveningen,52.1037679,4.276362,Entire home/apt,167,1,30,2024-12-08,1.19,11,303,11,Exempt
693967951951549689,Den Haag Keizerstraat | One-Bedroom Suite,418270816,Limehome,Wijk 07 Scheveningen,Oud Scheveningen,52.1037679,4.276362,Entire home/apt,178,1,10,2024-11-30,0.46,11,329,6,Exempt
693970124941101342,Den Haag Keizerstraat | Suite L with terrace,418270816,Limehome,Wijk 07 Scheveningen,Oud Scheveningen,52.103767,4.276362,Entire home/apt,135,1,6,2024-01-14,0.23,11,232,1,Exempt
693972273451830212,Den Haag Keizerstraat | Suite L,418270816,Limehome,Wijk 07 Scheveningen,Oud Scheveningen,52.103767,4.276362,Entire home/apt,119,1,19,2024-12-08,0.77,11,217,14,Exempt
693974605367871881,Den Haag Keizerstraat | Suite XL (28+ nights),418270816,Limehome,Wijk 07 Scheveningen,Oud Scheveningen,52.103767,4.276362,Entire home/apt,96,28,0,,,11,331,0,Exempt
693976627210346083,Den Haag Keizerstraat | 1-Bedroom Suite 28+ nights,418270816,Limehome,Wijk 07 Scheveningen,Oud Scheveningen,52.103767,4.276362,Entire home/apt,111,28,0,,,11,255,0,Exempt
694779826654470741,"Apartment with garden terrace, BBQ, free parking.",2270832,Arnold,Wijk 34 Morgenstond,Morgenstond-Oost,52.05368,4.27977,Entire home/apt,135,3,55,2024-12-16,1.98,1,250,25,051888C9B1CAA821BCE9
